locality_pid,gnaf_locality_pid,date_created,date_retired,locality_name,postcode,locality_class
VIC1245,250185136,27/4/12,,JAM JERRUP,3984,GAZETTED LOCALITY
VIC1246,250185137,27/4/12,,JAMIESON,3723,GAZETTED LOCALITY
VIC1247,250185138,27/4/12,,JAN JUC,3228,GAZETTED LOCALITY
VIC1248,250185139,27/4/12,,JANCOURT,3266,GAZETTED LOCALITY
VIC1249,250185140,27/4/12,,JANCOURT EAST,3266,GAZETTED LOCALITY
VIC1250,250178117,27/4/12,,JARKLIN,3517,GAZETTED LOCALITY
VIC1251,250178118,2/8/14,,JARRAHMOND,3888,GAZETTED LOCALITY
VIC1252,250185141,27/4/12,,JARVIS CREEK,3700,GAZETTED LOCALITY
VIC1253,250185142,27/4/12,,JEERALANG,3840,GAZETTED LOCALITY
VIC1254,250185143,27/4/12,,JEERALANG JUNCTION,3840,GAZETTED LOCALITY
VIC1255,250185144,27/4/12,,JEETHO,3945,GAZETTED LOCALITY
VIC1256,250178123,27/4/12,,JEFFCOTT,3480,GAZETTED LOCALITY
VIC1257,250178124,27/4/12,,JEFFCOTT NORTH,3480,GAZETTED LOCALITY
VIC1258,250185145,25/1/16,,JEPARIT,3423,GAZETTED LOCALITY
VIC1259,250185146,27/4/12,,JERICHO,,GAZETTED LOCALITY
VIC1260,250190976,27/4/12,,JERUK,3527,GAZETTED LOCALITY
VIC1261,250178126,3/8/18,,JIL JIL,3483,GAZETTED LOCALITY
VIC1262,250178127,27/4/12,,JILPANGER,3409,GAZETTED LOCALITY
VIC1263,250185147,3/8/18,,JINDIVICK,3818,GAZETTED LOCALITY
VIC1264,250178129,27/4/12,,JOEL JOEL,3384,GAZETTED LOCALITY
VIC1265,250178130,27/4/12,,JOEL SOUTH,3384,GAZETTED LOCALITY
VIC1266,250185148,9/8/17,,JOHANNA,3238,GAZETTED LOCALITY
VIC1267,250185149,3/2/18,,JOHNSONVILLE,3902,GAZETTED LOCALITY
VIC1268,250185150,27/4/12,,JOYCES CREEK,3364,GAZETTED LOCALITY
VIC1269,250185151,27/4/12,,JUMBUK,3869,GAZETTED LOCALITY
VIC1270,250185152,27/4/12,,JUMBUNNA,3951,GAZETTED LOCALITY
VIC1271,250185153,8/11/16,,JUNCTION VILLAGE,3977,GAZETTED LOCALITY
VIC1272,250178137,27/4/12,,JUNG,3401,GAZETTED LOCALITY
VIC1273,250190371,27/4/12,,JUNGABURRA,3575,GAZETTED LOCALITY
VIC1274,250185154,27/4/12,,JUNORTOUN,3551,GAZETTED LOCALITY
VIC1275,250178139,27/4/12,,KAARIMBA,3635,GAZETTED LOCALITY
VIC1276,250185155,3/8/18,,KADNOOK,3318,GAZETTED LOCALITY
VIC1277,250185156,27/4/12,,KALIMNA,3909,GAZETTED LOCALITY
VIC1278,250185157,27/4/12,,KALIMNA WEST,3909,GAZETTED LOCALITY
VIC1279,250185158,2/2/17,,KALKALLO,3064,GAZETTED LOCALITY
VIC1280,250178144,27/4/12,,KALKEE,3401,GAZETTED LOCALITY
VIC1281,250185159,27/4/12,,KALLISTA,3791,GAZETTED LOCALITY
